Картриджи для лазерных принтеров,Cовместимый,Cовместимый 10 шт.,Ориг.,Цвет
"<div class=""title""><a href=""013r00670/""><b>Xerox 013R00670</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc5024d/"">WorkCentre 5024D</a></div>",-          ,-          ,18150,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""101r00432/""><b>Xerox 101R00432 DRUM</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/brother/""><b>Brother</b></a>:
                  <a href=""/printer/brother/mfc-7860/"">MFC-7860</a></div>",6200          ,6100          ,10150,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""101r00434/""><b>Xerox 101R00434</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-5222/"">WorkCentre 5222</a></div>",6170          ,5990          ,12330,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""101r00435/""><b>Xerox 101R00435</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-5230/"">WC 5230</a></div>",6400          ,6200          ,23030,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""101r00474/""><b>Xerox 101R00474</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/kyocera/""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/p2040dw/"">ECOSYS P2040dw</a></div>",1900          ,1800          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""101r00555/""><b>Xerox 101R00555</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/brother/""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-9020/"">DCP-9020</a></div>",1900          ,1800          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""101r00664/""><b>Xerox 101R00664 DRUM</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/b215/"">B215</a></div>",1600          ,1550          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r00462/""><b>Xerox 106R00462</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/phaser-3400/"">Phaser 3400</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r00462-og/""><b>Xerox 106R00462 ОГ</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-5335/"">WorkCentre 5335 MFU</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""106r00586/""><b>Xerox 106R00586</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/workcentre-pro-412/"">WorkCentre Pro 412</a>, <a href=""/printer/xerox/faxcentre-f12/"">FaxCentre F12</a>, <a href=""/printer/xerox/workcentre-m15/"">WorkCentre M15</a>, <a href=""/printer/xerox/workcentre-m15i/"">WorkCentre M15i</a>, <a href=""/printer/xerox/wc-312/"">WorkCentre 312</a></div>",1850          ,1740          ,4240,"<span class=""rini_color-square-black""></span>"
