Картриджи для принтеров,Cовместимый,Cовместимый 10 шт.,Ориг.,Цвет
"<div class=""title""><a href=""tn-241c/""><b>Brother TN-241C</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-9020/"">DCP-9020</a></div>",1700          ,1600          ,,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""tn-241m/""><b>Brother TN-241M</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-9020/"">DCP-9020</a></div>",1700          ,1600          ,,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""tn-241y/""><b>Brother TN-241Y</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-9020/"">DCP-9020</a></div>",1700          ,1600          ,,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""tn-245bk/""><b>Brother TN-245BK</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-9020/"">DCP-9020</a></div>",1700          ,1600          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-245c/""><b>Brother TN-245C</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-9020/"">DCP-9020</a></div>",1700          ,1600          ,,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""tn-245m/""><b>Brother TN-245M</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-9020/"">DCP-9020</a></div>",1700          ,1600          ,,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""tn-245y/""><b>Brother TN-245Y</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-9020/"">DCP-9020</a></div>",1700          ,1600          ,,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""tn-3060/""><b>Brother TN-3060</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/hl-5130/"">HL-5130</a>, <a href=""/printer/brother/hl-5150d/"">HL-5150D</a></div>",2700          ,2600          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-3130/""><b>Brother TN-3130</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Brother</b></a>:
                  <a href=""/printer/brother/dcp-8060/"">DCP-8060</a>, <a href=""/printer/brother/hl-5240/"">HL-5240</a>, <a href=""/printer/brother/mfc-8460n/"">MFC-8460N</a>, <a href=""/printer/brother/hl-5250dn/"">HL-5250DN</a>, <a href=""/printer/brother//"">HL-5270DN</a>, <a href=""/printer/brother/hl-5270dn/"">HL-5270DN</a>, <a href=""/printer/brother/hl-5280dw/"">HL-5280DW</a>, <a href=""/printer/brother/mfc-8860dn/"">MFC-8860DN</a>, <a href=""/printer/brother/mfc-8870dw/"">MFC-8870DW</a></div>",2520          ,2300          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""tn-3170/""><b>Brother TN-3170</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/hp/""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-4550/"">LaserJet 4550</a></div>",1600          ,1500          ,,"<span class=""rini_color-square-black""></span>"
