Картриджи для принтеров,Cовместимый,Unnamed: 2,Ориг.,Цвет
"<div class=""title""><a href=""ce311a/""><b>HP CE311A (126A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/isensys-lbp7010c/"">i-Sensys LBP7010C</a></div>",850,800,,"<span class=""rini_color-square-cyan""></span>"
"<div class=""title""><a href=""ce312a/""><b>HP CE312A (126A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/isensys-lbp7010c/"">i-Sensys LBP7010C</a></div>",850,800,,"<span class=""rini_color-square-yellow""></span>"
"<div class=""title""><a href=""ce313a/""><b>HP CE313A (126A)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/isensys-lbp7010c/"">i-Sensys LBP7010C</a></div>",850,800,,"<span class=""rini_color-square-magenta""></span>"
"<div class=""title""><a href=""cf283x/""><b>HP CF283X (№ 83)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/kyocera/""><b>Kyocera</b></a>:
                  <a href=""/printer/kyocera/fs-1370dn/"">FS-1370DN</a>, <a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/ljp-mfp-m225dn/"">LaserJet Pro MFP M225dn</a>, <a href=""/printer/hp/ljp-m201n/"">LaserJet Pro M201n</a>, <a href=""/cartridge/canon/""><b>Canon</b></a>:
                  <a href=""/printer/canon/i-sensys-mf229dw/"">i-SENSYS MF229dw</a></div>",1290,1190,6890,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""92275a/""><b>HP 92275A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-llp/"">LaserJet llp</a>, <a href=""/printer/hp/lj-llp+/"">LaserJet llp+</a>, <a href=""/printer/hp/lj-lllp/"">LaserJet lllp</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""92291a/""><b>HP 92291A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-iiisi/"">LaserJet IIIsi</a>, <a href=""/printer/hp/lj-4si/"">LaserJet 4si</a>, <a href=""/printer/hp/lj-4si-mx/"">LaserJet 4si mx</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""92298a/""><b>HP 92298A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-4/"">LaserJet 4</a>, <a href=""/printer/hp/lj-4+/"">LaserJet 4+</a>, <a href=""/printer/hp/lj-4m/"">LaserJet 4m</a>, <a href=""/printer/hp/lj-4m+/"">LaserJet 4m+</a>, <a href=""/printer/hp/lj-5/"">LaserJet 5</a>, <a href=""/printer/hp/lj-5m/"">LaserJet 5m</a>, <a href=""/printer/hp/lj-5n/"">LaserJet 5n</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""92298x/""><b>HP 92298X</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-5n/"">LaserJet 5n</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""c3900a/""><b>HP C3900A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-4v/"">LaserJet 4v</a>, <a href=""/printer/hp/lj-4mv/"">LaserJet 4mv</a></div>",-          ,-          ,,"<span class=""rini_color-square-black""></span>"
"<div class=""title""><a href=""c3903a/""><b>HP C3903A</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>HP</b></a>:
                  <a href=""/printer/hp/lj-5p/"">LaserJet 5p</a>, <a href=""/printer/hp/lj-5mp/"">LaserJet 5mp</a>, <a href=""/printer/hp/lj-6p/"">LaserJet 6p</a>, <a href=""/printer/hp/lj-6mp/"">LaserJet 6mp</a></div>",1290,1240,3500,"<span class=""rini_color-square-black""></span>"
