Картриджи для принтеров,Cовместимый,Cовместимый 10 шт.,Ориг.,Цвет
"<div class=""title""><a href=""c-exv-18-drum/""><b>Canon C-EXV 18 DRUM</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/hp/""><b>HP</b></a>:
                  <a href=""/printer/hp/ljp-400-m401dn/"">LaserJet Pro 400 M401dn</a></div>",-          ,-          ,"12440<br/><a href=""#add=-1690"" class=""buy"" rel=""nofollow, noindex"">Купить</a>","<span style=""background: black""> </span>"
"<div class=""title""><a href=""c-exv-11-drum/""><b>Canon C-EXV-11/12 Drum Unit</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Canon</b></a>:
                  <a href=""/printer/canon/lbp6030b/"">i-Sensys LBP6030B (8468B006)</a></div>",-          ,-          ,"20150<br/><a href=""#add=-1057"" class=""buy"" rel=""nofollow, noindex"">Купить</a>","<span style=""background: black""> </span>"
"<div class=""title""><a href=""c-exv-3/""><b>Canon C-EXV-3/GRP-6/NPG-18</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Canon</b></a>:
                  <a href=""/printer/canon/ir-2200/"">iR-2200</a>, <a href=""/printer/canon/ir-2220/"">iR-2220</a></div>",-          ,-          ,"6210<br/><a href=""#add=-2111"" class=""buy"" rel=""nofollow, noindex"">Купить</a>","<span style=""background: black""> </span>"
"<div class=""title""><a href=""c-exv-40/""><b>Canon C-EXV-40</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Canon</b></a>:
                  <a href=""/printer/canon/ir-1133/"">iR-1133</a>, <a href=""/printer/canon/ir-1133if/"">iR-1133IF</a></div>","1900          <br/><a href=""#add=2116"" class=""buy"" rel=""nofollow, noindex"">Купить</a>","1800          <br/><a href=""#add=2116&qty=10"" class=""buy"" rel=""nofollow, noindex"">Купить</a>",,"<span style=""background: black""> </span>"
"<div class=""title""><a href=""c-exv-5-drum/""><b>Canon C-EXV-5 (DRUM)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Canon</b></a>:
                  <a href=""/printer/canon/ir-2220/"">iR-2220</a></div>",-          ,-          ,"7660<br/><a href=""#add=-2114"" class=""buy"" rel=""nofollow, noindex"">Купить</a>","<span style=""background: black""> </span>"
"<div class=""title""><a href=""c-exv-6/""><b>Canon C-EXV-6/NPG15 DRUM</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Canon</b></a>:
                  <a href=""/printer/canon/ir-2220/"">iR-2220</a></div>",-          ,-          ,"11080<br/><a href=""#add=-2115"" class=""buy"" rel=""nofollow, noindex"">Купить</a>","<span style=""background: black""> </span>"
"<div class=""title""><a href=""c-exv12/""><b>Canon C-EXV12</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Canon</b></a>:
                  <a href=""/printer/canon/ir3035/"">iR3035</a>, <a href=""/printer/canon/ir3045/"">iR3045</a>, <a href=""/printer/canon/ir3235/"">iR3235</a>, <a href=""/printer/canon/ir3245/"">iR3245</a>, <a href=""/printer/canon/ir3530/"">iR3530</a>, <a href=""/printer/canon/ir3570/"">iR3570</a>, <a href=""/printer/canon/ir4570/"">iR4570</a></div>",-          ,-          ,"7260<br/><a href=""#add=-2228"" class=""buy"" rel=""nofollow, noindex"">Купить</a>","<span style=""background: black""> </span>"
"<div class=""title""><a href=""c-exv14/""><b>Canon C-EXV14</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Canon</b></a>:
                  <a href=""/printer/canon/ir-2016/"">iR2016</a>, <a href=""/printer/canon/ir-2020i/"">iR2020i</a></div>","1350          <br/><a href=""#add=1081"" class=""buy"" rel=""nofollow, noindex"">Купить</a>","1290          <br/><a href=""#add=1081&qty=10"" class=""buy"" rel=""nofollow, noindex"">Купить</a>","3840<br/><a href=""#add=-1081"" class=""buy"" rel=""nofollow, noindex"">Купить</a>","<span style=""background: black""> </span>"
"<div class=""title""><a href=""c-exv14-drum/""><b>Canon C-EXV14 DRUM UNIT</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""/cartridge/xerox/""><b>Xerox</b></a>:
                  <a href=""/printer/xerox/wc-pro-415/"">WC PRO 415</a></div>",-          ,-          ,,"<span style=""background: black""> </span>"
"<div class=""title""><a href=""c-exv21-b/""><b>Canon C-EXV21 (black)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Canon</b></a>:
                  <a href=""/printer/canon/c2380i/"">C2380I</a></div>",-          ,-          ,,"<span style=""background: black""> </span>"
"<div class=""title""><a href=""c-exv21-c/""><b>Canon C-EXV21 (cyan)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Canon</b></a>:
                  <a href=""/printer/canon/c2380i/"">C2380I</a></div>",-          ,-          ,,"<span style=""background: #00BFFF""> </span>"
"<div class=""title""><a href=""c-exv21-m/""><b>Canon C-EXV21 (magenta)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Canon</b></a>:
                  <a href=""/printer/canon/c2380i/"">C2380I</a></div>",-          ,-          ,,"<span style=""background: darkmagenta""> </span>"
"<div class=""title""><a href=""c-exv21-y/""><b>Canon C-EXV21 (yellow)</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Canon</b></a>:
                  <a href=""/printer/canon/c2380i/"">C2380I</a></div>",-          ,-          ,,"<span style=""background: #FFD700""> </span>"
"<div class=""title""><a href=""c-exv21m/""><b>Canon C-EXV21/GPR-23 (Magenta) Drum</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Canon</b></a>:
                  <a href=""/printer/canon/ir-c3080i/"">iR C3080i</a></div>",-          ,-          ,,"<span style=""background: darkmagenta""> </span>"
"<div class=""title""><a href=""c-exv21/""><b>Canon C-EXV21/GPR-23 (Yellow) Drum</b></a></div><div class=""clear""/><div class=""links""><div class=""c-gray"">Подходит к принтерам:</div><a href=""""><b>Canon</b></a>:
                  <a href=""/printer/canon/ir-c2380i/"">iR C2380i</a>, <a href=""/printer/canon/ir-c2880i/"">iR C2880i</a>, <a href=""/printer/canon/ir-c3080i/"">iR C3080i</a></div>",-          ,-          ,,"<span style=""background: #FFD700""> </span>"
